time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
13.75,2.744,0.113853,0.175847,2.71713,0.0623208,0.177311,-0.0268657,-0.0515318,0.00146323,0.058132893354476176,1,0.03,-0.0143165,-0.0174051,-0.0131958,0.0005229,,0.00991359,1,0.01,0.187277,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.796,0.0992964,0.172042,2.76778,0.0479445,0.166435,-0.0282237,-0.0513519,-0.00560665,0.058864500333583904,1,0.08,-0.0131095,0.00339613,0.00991265,0.00120237,,-0.0131802,1,0.02,0.210778,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.25,2.844,0.0856179,0.168296,2.81684,0.0333076,0.183632,-0.027161,-0.0523103,0.0153361,0.06090388633166196,1,0.03,-0.00878837,-0.000762861,0.0322,0.00143527,,-0.00335943,1,0.01,0.202451,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,2.896,0.0705748,0.163991,2.86723,0.0239625,0.151635,-0.028768,-0.0466123,-0.0123558,0.05615131457882353,1,0.08,-0.0158542,-0.0149606,-0.0232006,0.00172319,,-0.00541452,1,0.02,0.20538,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.75,2.944,0.0565157,0.159795,2.9161,0.00710956,0.132428,-0.0278977,-0.0494061,-0.0273667,0.06299349689761635,1,0.03,-0.00725638,0.00778847,0.0116796,0.00100858,,0.0147873,1,0.01,0.186022,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.996,0.041136,0.155015,2.96879,0.000702683,0.1596,-0.0272074,-0.0404333,0.00458564,0.04895020385922412,1,0.08,-0.0248638,-0.0230096,-0.0226788,0.000943129,,0.00295156,1,0.02,0.197612,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.25,3.044,0.0268368,0.150392,3.01707,-0.0159677,0.162279,-0.0269301,-0.0428045,0.0118874,0.05194964663036699,1,0.03,-0.000873148,0.0101893,-0.000267621,0.000595926,,0.00799489,1,0.01,0.19278,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,3.096,0.0112742,0.145163,3.06232,-0.029183,0.13864,-0.0336827,-0.0404572,-0.00652374,0.05304590931181782,1,0.08,0.00860209,0.000871636,-0.0227525,0.00100001,,-0.008813,1,0.02,0.209361,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.75,3.144,-0.00312219,0.14014,3.11545,-0.0451678,0.168188,-0.0285477,-0.0420456,0.0280483,0.058047487349066194,1,0.03,-0.0194845,0.0146734,-0.00770029,0.0011874,,-0.00249365,1,0.01,0.203534,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,3.196,-0.0187122,0.134493,3.16773,-0.0578998,0.11677,-0.0282742,-0.0391875,-0.0177231,0.05147036832489156,1,0.08,-0.0185621,-0.00187914,0.0294084,0.000639131,,0.0137809,1,0.02,0.187391,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
