time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
14.255,2.844,0.0856179,0.168296,2.81655,0.0882618,0.1822,-0.0274509,0.00264387,0.0139039,0.03088463039437092,1,0.035,-0.00725168,0.00203288,0.0300396,-0.000756028,,-0.00592364,1,0.015,0.202451,1,1,1,1,-0.0281613,0.00824664,0.00110667,-0.0129995,2.34266,2.67464,2.4554,2.64161
14.505,2.896,0.0705748,0.163991,2.86705,0.0649277,0.187478,-0.0289526,-0.00564711,0.0234871,0.03770658781329995,1,0.085,-0.0169005,-0.0236416,-0.0281106,0.000544743,,-0.00949236,1,0.005,0.207208,1,1,1,1,-0.0315211,0.041626,-0.0336139,-0.00270378,2.3418,2.64675,2.51511,2.60758
14.755,2.944,0.0565157,0.159795,2.91604,0.0538314,0.123914,-0.0279568,-0.0026843,-0.0358812,0.04556587150675383,1,0.035,-0.00729255,0.00404756,0.00751152,0.000526588,,0.0135721,1,0.015,0.186022,1,1,1,1,0.0495031,-0.0226168,0.00828883,-0.0088061,2.32466,2.64746,2.48769,2.60785
15.005,2.996,0.041136,0.155015,2.96897,0.0434524,0.146294,-0.0270257,0.00231637,-0.00872104,0.02849228964384049,1,0.085,-0.0248373,-0.028056,-0.0259523,0.00184033,,0.00255776,1,0.005,0.19751,1,1,1,1,0.0109097,-0.0313524,-0.00614013,-0.0215136,2.34127,2.67857,2.51337,2.60858
15.255,3.044,0.0268368,0.150392,3.01691,0.0285166,0.124363,-0.027088,0.00167977,-0.0260293,0.037604598518570835,1,0.035,-0.00101765,0.00620475,-0.00169813,-0.00026849,,0.00889447,1,0.015,0.19278,1,1,1,1,0.012818,-0.0741609,0.0254124,0.0289774,2.36187,2.69925,2.49698,2.54344
15.505,3.096,0.0112742,0.145163,3.06193,0.00930298,0.163133,-0.0340685,-0.00197122,0.0179695,0.038567490594909076,1,0.085,0.0074978,-0.00715482,-0.0249136,-0.000921072,,0.0150561,1,0.005,0.184647,1,1,1,1,-0.0211999,0.0162793,-0.00548839,0.0100005,2.35788,2.64711,2.54658,2.53864
15.755,3.144,-0.00312219,0.14014,3.11491,-0.00655155,0.158972,-0.0290919,-0.00342936,0.0188322,0.034824573399534986,1,0.035,-0.0209132,0.00729633,-0.0106373,-0.00130689,,-0.00442671,1,0.015,0.203534,1,1,1,1,-0.0202236,0.015575,0.00563844,0.00531486,2.36162,2.64313,2.55192,2.52702
16.005,3.196,-0.0187122,0.134493,3.16718,-0.0182347,0.107961,-0.0288172,0.000477554,-0.026532,0.03917404877802288,1,0.085,-0.0193376,-0.00727872,0.0253976,-0.00181843,,-0.0149187,1,0.005,0.213557,1,1,1,1,0.00604809,-0.0298463,0.0178754,0.00642683,2.38677,2.63712,2.55237,2.51809
16.255,3.244,-0.033062,0.129097,3.21295,-0.0387831,0.103691,-0.0310507,-0.00572108,-0.0254065,0.04052612699366175,1,0.035,0.00553351,0.00173065,-0.0127452,-0.00372334,,0.0121082,1,0.015,0.185766,1,1,1,1,-0.0308188,-0.00368748,0.00965541,0.0306417,2.42853,2.60571,2.58062,2.47203
16.505,3.296,-0.0485237,0.123062,3.26748,-0.0525981,0.121858,-0.0285178,-0.0040744,-0.0012043,0.028832550887668607,1,0.085,-0.0192599,0.0266906,0.0226679,-0.00225672,,-0.00794244,1,0.005,0.203545,1,1,1,1,-0.0209169,0.0246427,-0.0149582,-0.025303,2.40088,2.59475,2.62001,2.51263
16.755,3.344,-0.0626834,0.117325,3.31296,-0.0646778,0.126009,-0.0310391,-0.00199435,0.00868419,0.03229269757528163,1,0.035,0.00884868,0.0080793,-0.0250478,-0.00336028,,0.0139065,1,0.015,0.182679,1,1,1,1,0.0218232,-0.0214329,0.0186237,0.00775923,2.35435,2.64422,2.59809,2.46586
17.005,3.396,-0.0778623,0.110937,3.36071,-0.075182,0.0674371,-0.0352947,0.00268036,-0.0434996,0.056081328247283874,1,0.085,0.0094703,0.0512317,0.00410739,-0.00305892,,-0.00957509,1,0.005,0.204574,1,1,1,1,0.0360447,-0.0511992,0.00735689,-0.00528396,2.39906,2.61484,2.61954,2.47279
